"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 22 10:01:25 IST 2023","Wed Feb 22 10:01:44 IST 2023","19293","firefox","smoketest.spec.js","","","","Login With Username And Password With Paypal as Payment Method",""
"passed","Wed Feb 22 10:01:28 IST 2023","Wed Feb 22 10:01:46 IST 2023","18581","webkit","advanceinvoice.spec.js","","","","Login With Username And Password With Advance Invoice as Payment Method",""
"broken","Wed Feb 22 10:02:17 IST 2023","Wed Feb 22 10:02:49 IST 2023","32463","Mobile Chrome","Paypal.spec.js","","","","Login With Username And Password With Paypal as Payment Method",""
"broken","Wed Feb 22 10:02:18 IST 2023","Wed Feb 22 10:02:50 IST 2023","32558","Mobile Chrome","smoketest.spec.js","","","","Login With Username And Password With Paypal as Payment Method",""
"passed","Wed Feb 22 10:02:16 IST 2023","Wed Feb 22 10:02:44 IST 2023","28948","Mobile Chrome","Creditcarde.spec.js","","","","Login With Username And Password With Credit Card As Payment Method",""
"passed","Wed Feb 22 10:01:07 IST 2023","Wed Feb 22 10:01:27 IST 2023","19656","firefox","advanceinvoice.spec.js","","","","Login With Username And Password With Advance Invoice as Payment Method",""
"broken","Wed Feb 22 10:01:47 IST 2023","Wed Feb 22 10:02:17 IST 2023","30236","webkit","smoketest.spec.js","","","","Login With Username And Password With Advance Invoice as Payment Method",""
"failed","Wed Feb 22 10:01:16 IST 2023","Wed Feb 22 10:01:25 IST 2023","8719","firefox","axe.spec.js","homepage","","","welcome to AXE TEST:",""
"broken","Wed Feb 22 10:00:43 IST 2023","Wed Feb 22 10:01:16 IST 2023","32662","chromium","smoketest.spec.js","","","","Login With Username And Password With Advance Invoice as Payment Method",""
"passed","Wed Feb 22 10:01:51 IST 2023","Wed Feb 22 10:02:12 IST 2023","20060","Mobile Chrome","advanceinvoice.spec.js","","","","Login With Username And Password With Advance Invoice as Payment Method",""
"broken","Wed Feb 22 10:00:43 IST 2023","Wed Feb 22 10:01:16 IST 2023","32611","chromium","Paypal.spec.js","","","","Login With Username And Password With Paypal as Payment Method",""
"failed","Wed Feb 22 10:00:43 IST 2023","Wed Feb 22 10:00:49 IST 2023","5585","chromium","axe.spec.js","homepage","","","welcome to AXE TEST:",""
"broken","Wed Feb 22 10:01:45 IST 2023","Wed Feb 22 10:02:15 IST 2023","30198","webkit","Creditcarde.spec.js","","","","Login With Username And Password With Credit Card As Payment Method",""
"failed","Wed Feb 22 10:01:42 IST 2023","Wed Feb 22 10:01:51 IST 2023","9184","webkit","axe.spec.js","homepage","","","welcome to AXE TEST:",""
"broken","Wed Feb 22 10:02:18 IST 2023","Wed Feb 22 10:02:50 IST 2023","32582","Mobile Chrome","smoketest.spec.js","","","","Login With Username And Password With Advance Invoice as Payment Method",""
"broken","Wed Feb 22 10:01:46 IST 2023","Wed Feb 22 10:02:16 IST 2023","30032","webkit","Paypal.spec.js","","","","Login With Username And Password With Paypal as Payment Method",""
"passed","Wed Feb 22 10:00:43 IST 2023","Wed Feb 22 10:01:06 IST 2023","22921","chromium","advanceinvoice.spec.js","","","","Login With Username And Password With Advance Invoice as Payment Method",""
"broken","Wed Feb 22 10:00:49 IST 2023","Wed Feb 22 10:01:22 IST 2023","32734","chromium","smoketest.spec.js","","","","Login With Username And Password With Paypal as Payment Method",""
"failed","Wed Feb 22 10:02:12 IST 2023","Wed Feb 22 10:02:18 IST 2023","6595","Mobile Chrome","axe.spec.js","homepage","","","welcome to AXE TEST:",""
"broken","Wed Feb 22 10:00:43 IST 2023","Wed Feb 22 10:01:16 IST 2023","32600","chromium","Creditcarde.spec.js","","","","Login With Username And Password With Credit Card As Payment Method",""
"broken","Wed Feb 22 10:01:16 IST 2023","Wed Feb 22 10:01:47 IST 2023","30652","firefox","Paypal.spec.js","","","","Login With Username And Password With Paypal as Payment Method",""
"broken","Wed Feb 22 10:01:47 IST 2023","Wed Feb 22 10:02:17 IST 2023","30180","webkit","smoketest.spec.js","","","","Login With Username And Password With Paypal as Payment Method",""
"passed","Wed Feb 22 10:01:22 IST 2023","Wed Feb 22 10:01:41 IST 2023","18324","firefox","smoketest.spec.js","","","","Login With Username And Password With Advance Invoice as Payment Method",""
"broken","Wed Feb 22 10:01:16 IST 2023","Wed Feb 22 10:01:47 IST 2023","30671","firefox","Creditcarde.spec.js","","","","Login With Username And Password With Credit Card As Payment Method",""
